" Характеристика"	" Тип"	"Группа"	"Прогноз"	"Значение списка"	"ИзРукВРуки поле"	"ИзРукВРуки - парсер"	"Услуга"	"Жилое, Квартира"	"Жилое,Комната"	"Жилое,Дом"	"Жилое, Участок"	"Коммерческое,Квартира"	"Коммерческое,Помещение"	"Коммерческое,Здание"	"Другое,Гараж"
"Тип дома"	" list"	"Основные"	1	"Сталинка:2,Хрущевка:0, Брежневка:1, Кирпич:2, Панель:0, Блочный:1, Монолитный:3"	"Тип дома"	"Сталинка:Сталинка,Хрущевка:Хрущевка,Брежневка:Брежневка,Кирпич:Кирпич,Панель:Панель,Блочный:Блочный,Монолитный:Монолитный,Кирпич:Кирпичный,Панель:Панельный"		"*"	" *"			"*"			
" Количество комнат"	" list"	"Основные"	1	"1:0,2:1,3:3,4:4,5:5,6 и более:8"	"Кол-во комнат;Кол-во комнат в квартире;Кол-во комнат в доме;Всего комнат в квартире;"	"1:1,2:2,3:3,4:4,5:5,6:6 и более,\d+:6 и более,.+:1"		" +"		" *"		" +"			
" Оплата коммунальных платежей входит в цену"	"bool"	"Оплата"	1				"Аренда"	"*"	"*"	"*"	"*"	"*"	"*"	"*"	
" Оплата электричества входит в цену"	" bool"	"Оплата"	1				"Аренда"	"*"	"*"	"*"	"*"	"*"	"*"	"*"	"*"
" Способ оплаты"	"list"	"Оплата"		"Авансом за месяц, Авансом за 2 месяца, Помесячно, Поквартально"			"Аренда"	"+"	"+"	"+"	" +"	" +"	"+"	"+"	"+"
" Жилая площадь"	" decimal"	"Основные"	1		"Жилая площадь"			" *"	" *"	"*"					
" Площадь кухни"	"decimal"	"Дополнительные"	1		"Площадь кухни"			" *"							
" Этажность здания"	" list"	"Основные"		"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"	"Этажность дома;Этажей"			" *"	" *"	" *"		"*"	" *"	"*"	
" Этаж объекта"	" list"	"Основные"		"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"	"Этаж"			" *"	" *"			"*"	"*"		
" Состояние"	" list"	"Дополнительные"	1	"Отличное:1, Хорошее:0, После ремонта:2, Требует косметического ремонта:0,Требует капитального ремонта:0,Недоделан:0"	"Ремонт"	"после косметического ремонта:После ремонта,в отличном состоянии:Отличное, требует косметического ремонта:Требует косметического ремонта,требует капитального ремонта:Требует капитального ремонта,недостроен:Недоделан"		"+"	" +"	"+"		"+"	"+"	"+"	" +"
" Возможен ли торг"	" bool"	"Оплата"						" *"	"*"	"*"	"*"	"*"	"*"	"*"	"*"
" Материал стен"	" list"	"Дополнительные"		"Панельный, Кирпичный, Бетонный, Деревянный"	"Материал стен"	"Кирпич:Кирпичный, Панель:Панельный,Монолитный дом:Бетонный,Блоки:Бетонный"		" *"	"*"	"*"		"*"	"*"	"*"	
" Наличие 2-й двери"	" bool"	"Дополнительные"						" +"				"+"			
" Горячая вода"	" bool"	"Дополнительные"						" *"	"*"	"*"		"*"	"*"	"*"	
" Холодная вода"	" bool"	"Дополнительные"						" *"	"*"	"*"	"*"	" *"	"*"	"*"	
" Меблировка кухни"	" bool"	"Дополнительные"	1				"Аренда"	" *"				"*"			
" Меблировка комнат"	"list"	"Дополнительные"	1	"Нет:0, Частичная:2, Полная:1"	"Мебель"	".*:Частичная"	"Аренда"	" *"	" *"	" *"		" *"	"*"	"*"	
" Бытовая техника"	" bool"	"Дополнительные"			"Бытовая техника"		"Аренда"	" *"	" *"	" *"		" *"	"*"	"*"	
" Евроремонт"	" bool"	"Дополнительные"	1					"*"	" *"			"*"	"*"		
" Стеклопакеты"	" bool"	"Дополнительные"						" *"	" *"	"*"		"*"	"*"		
" Балкон"	"list"	"Дополнительные"	1	"Один балкон:0, Два балкона:2, Три балкона:4, Нет:0"	"Балкон"	"Два балкона:Два балкона,.*:Один балкон"		"*"	"*"			"*"	"*"		
" Газ"	" bool"	"Дополнительные"			"Газ"			" *"	" *"	" *"	"*"	"*"	"*"	"*"	
" Плита на кухне"	" bool"	"Дополнительные"					"Аренда"	"*"				"*"			
" Холодильник"	" bool"	"Дополнительные"					"Аренда"	"*"				"*"			
" Стиральная машина"	" bool"	"Дополнительные"					"Аренда"	"*"		"*"					
" Охранная система"	" bool"	"Дополнительные"			"Охрана"			"*"		"*"		"*"	"*"	"*"	"*"
" Сад"	" bool"	"Дополнительные"								"*"	"*"				
" Колодец, скважина"	" bool"	"Дополнительные"	1							"*"	"*"				
" Наличие электричества (220 В, 380 В)"	" bool"	"Основные"	1		"Электричество"					"*"	"*"		"*"	" *"	"*"
" Наличие интернета"	" bool"	"Дополнительные"			"Интернет"			" *"	"*"	"*"		"*"	"*"	"*"	
" Наличие телефона"	" bool"	"Дополнительные"	1		"Городской телефон"			"*"	"*"	"*"		"*"	"*"	"*"	
" Асфальтированный подъезд"	" bool"	"Дополнительные"	1							"*"	"*"				
" Рядом лес"	" bool"	"Дополнительные"			"Лес"					"*"	"*"				
" Рядом река/водоем"	" bool"	"Дополнительные"			"Водоем"					"*"	"*"				
