Юрьевец	Ленинский р-н
Энергетик	
Пиганово	
ул.181-й км (мкр. Юрьевец)	
Мостострой	
ул.1-я Кольцевая	
Спасское	
ул.2-я Кольцевая	
Немцово	
ул.3-я Кольцевая	
Оборино	
ул.8-го Марта	
Мосино	
ул.9-го Января	
ул.Алябьева	
территория Аэропорт	
ул.Багряная (мкр. Юрьевец)	
ул.Бакулинская	
ул.Балакирева (четн. сторона, нечетн. сторона с д.№ 11 по д. № 21)	
ул.Береговая	
ул.Березовая (мкр. Юрьевец)	
ул.Благонравова	
ул.Бобкова	
ул.Болотникова	
ул.Большие Ременники	
ул.Бородина	
ул.Василисина	
ул.Верхняя Дуброва	
ул.Визитная (мкр. Юрьевец)	
ул.Вишневая	
ул.Вознесенская	
ул.Вольная (мкр. Юрьевец)	
ул.Всесвятская (мкр. Юрьевец)	
ул.Гвардейская (мкр. Юрьевец)	
ул.Глинки	
ул.Гоголя	
ул.Горная	
ул.Горячева	
ул.Гражданская	
ул.Даргомыжского	
ул.Дворянская	
ул.Демьяна Бедного	
ул.Дзержинского (кроме д. №№ 3. 5, 7)	
ул.Диктора Левитана	
ул.Дмитриевская Слобода	
ул.Добролюбова	
ул.Доватора	
ул.Дорожная	
ул.Ермака	
ул.Завадского	
ул.Западная	
ул.Зеленая (мкр. Мостострой)	
Институтский городок (мкр. Юрьевец)	
ул.Искристая (мкр. Юрьевец)	
ул.Казарменная	
ул.Крайнова	
ул.Красная Горка	
ул.Красная	
ул.Красноармейская	
ул.Куликова	
ул.Лакина (с д. № 209а и т.д.)	
ул.Левино поле	
проспект Ленина	
ул.Лесная	
ул.Летне-Перевозинская	
ул.Ломоносова	
ул.Майдан	
ул.Майская (мкр. Юрьевец)	
ул.Мещерская	
ул.Мира (четн. сторона, с д. № 2 по № 8 )	
ул.Михалькова (мкр. Юрьевец)	
ул.Мичурина	
ул.МОПРа	
Московское шоссе	
ул.Мостостроевская	
ул.Мусоргского	
ул.МЮДа	
ул.Набережная (мкр. Мостострой)	
ул.Неповторимая (мкр. Юрьевец)	
ул.Нижняя Дуброва	
ул.Никитская (д. №№ 1, 3, 4а, 5)	
ул.Николая Островского	
ул.Новая (мкр. Немцово)	
ул.Ново-Гончарная	
ул.Ново-Ямская	
ул.Ноябрьская (мкр. Юрьевец)	
ул.Озерная	
"Октябрьский проспект ( с д. № 3 по № 11а; с д.№ 4 по № 10 )"	
Октябрьский в/городок	
ул.Офицерская	
ул.Парижской Коммуны	
Перекопский в/городок	
Перекопский городок
ул.Пичугина	
ул.Покровская (мкр. Мосино)	
ул.Полевая (мкр. Немцово)	
ул.Полевая (мкр. Оборино)	
ул.Православная (мкр. Юрьевец)	
ул.Преображенская (мкр. Юрьевец)	
ул.Пригородная	
ул.Производственная	
ул.Прохладная (мкр. Юрьевец)	
ул.Пугачева	
ул.Пушкарская	
ул.Разина	
ул.Родниковая (мкр. Юрьевец)	
ул.Рождественская (мкр. Юрьевец)	
ул.Рос (мкр. Юрьевец)	
ул.Росляковская (мкр. Энергетик)	
ул.Рябиновая (мкр. Юрьевец)	
ул.Садовая (мкр. Спасское)	
ул.Садовая (мкр.Энергетик)	
ул.Садовая	
ул.Светлая (мкр. Юрьевец)	
ул.Северная (мкр. Мостострой)	
ул.Северная (мкр.Энергетик)	
ул.Семашко	
ул.Семязинская	
ул.Сиреневая (мкр. Юрьевец)	
ул.Складская	
ул.Славная (мкр. Юрьевец)	
ул.Советская (мкр. Энергетик)	
"ул.Совхоз ""Вышка"""	
ул.Совхозная (мкр. Спасское)	
ул.Совхозная (мкр. Энергетик)	
ул.Совхозная	
ул.Солнечная	
ул.Сосенская	
ул.Социалистическая	
ул.Ставровская	
ул.Станционная (мкр. Юрьевец)	
ул.Старо-Гончарная	
ул.Стасова	
ул.Сторонка (мкр. Спасское)	
ул.Стрелецкая	
ул.Стрелецкий мыс	
Стрелецкий городок	
проспект Строителей	
ул.Студеная Гора	
ул.Студенческая (мкр. Спасское)	
ул.Сурикова	
ул.Сущевская	
ул.Танеева	
ул.Тенистая (мкр. Юрьевец)	
ул.Тихая (мкр. Юрьевец)	
ул.Тихонравова	
ул.Трудовая	
ул.Тумская	
ул.Университетская	
ул.Учительская	
ул.Фатьянова	
ул.Федосеева	
ул.Хлебозаводская	
ул.Центральная (мкр. Мостострой)	
ул.Центральная (мкр. Пиганово )	
ул.Центральная (мкр. Спасское)	
ул.Чайковского	
ул.Чапаева	
ул.Черняховского	
ул.Школьная (мкр. Мостострой)	
ул.Шпалорезка	
ул.Элеваторная	
ул.Энергетиков (мкр. Энергетик)	
ул.Южная	
Южное шоссе (до моста через р. Клязьму)	
ул.Ясная (мкр. Юрьевец)	
14-й проезд	
16-й проезд	
17-й проезд	
18-й проезд	
19-й проезд	
1-й Сосенский проезд	
21-й проезд	
22-й проезд	
23-й проезд	
24-й проезд	
25-й проезд	
26-й проезд	
2-й Сосенский проезд	
Большой проезд	
Быковский проезд	
Верхний проезд	
Вишневый проезд	
Горный проезд	
Дальний проезд	
Западный проезд	
Красный проезд	
Малый проезд	
Мельничный проезд	
Нижний проезд	
Ново-Гончарный переулок	
Ново-Ямской переулок	
Офицерский проезд	
Полевой проезд	
Помпецкий переулок	
проезд Добролюбова	
проезд Лакина	
проезд Мичурина	
проезд Пономарева	
проезд Стасова	
проезд Чайковского	
Родниковый проезд	
Сосенский переулок	
Сосенский тупик	
Средний проезд	
Старо-Гончарный переулок	
Стрелецкий переулок	
Строительный проезд (мкр. Юрьевец)	
Сущевский проезд	
Танковый проезд	
Школьный проезд (мкр. Юрьевец)	
Южный проезд	
Коммунар	Октябрьский р-н
Заклязьменский	
ул.10-го Октября	
Турбаза «Ладога»	
ул.16 лет Октября	
Рахманов Перевоз	
ул.1-я Линия	
Долгая Лужа	
ул.1-я Никольская	
Аббакумово	
"ул.1-я Пионерская (четн. стор. с № 68 и т.д.; Никулино"	
нечетн. стор. с № 55 и т.д.)	
Кусуново	
ул.1-я Подгорная	
Уварово	
ул.2-я Линия	
Бухолово	
ул.2-я Никольская	
Злобино	
ул.2-я Подгорная	
Вилки	
ул.3-я Линия	
Шепелево	
ул.4-я Линия	
Ущер	
ул.7-я Линия	
ул.850-летия	
ул.8-я Линия	
ул.9-я Линия	
ул.Агрономическая	
ул.Александра Матросова	
ул.Асаткина	
ул.Балакирева (нечетн. стор. с д. № 25 и т.д.)	
ул.Батурина	
ул.Белоконской	
"ул.Белораменская (кв-л жилой застройки ""Лунево"")"	
ул.Белякова	
ул.Березина	
ул.Большая Московская	
ул.Большая Нижегородская (с д. № 1 по № 51б)	
"ул.Вальковская (кв-л жилой застройки ""Лунево"")"	
ул.Варварка	
ул.Ватутина	
ул.Верезинская	
"ул.Вересковая (кв-л жилой застройки ""Лунево"")"	
ул.Верещагина	
ул.Верхне-Лыбедская	
ул.Верхние Ямки	
ул.Вокзальная (нечетн. сторона и с д. № 2 по № 14в, д.№№ 30,32)	
ул.Володарского	
ул.Воровского	
ул.Восточная (мкр. Заклязьменский)	
ул.Гагарина	
ул.Гастелло	
ул.Георгиевская	
ул.Герцена	
ул.Годова Гора	
ул.Гороховая	
ул.Горького	
ул.Дачная	
ул.Девическая	
ул.Дегтярева	
ул.Деревенская (мкр. Долгая Лужа)	
ул.Дзержинского (д. №№ 3, 5, 7)	
ул.Дружбы	
ул.Железнодорожная	
"ул.Журавлиха (кв-л жилой застройки ""Лунево"")"	
ул.Задний Боровок	
ул.Заречная	
ул.Зеленая (мкр. Заклязьменский)	
ул.Зеленая (мкр. Коммунар)	
ул.Зеленая	
ул.Златовратского	
ул.Зои Космодемьянской	
ул.Ивановская-Подгорная	
ул.Ильинская-Покатая	
ул.Ильича	
ул.Каманина ( с д. № 14 и т.д.)	
ул.Карла Маркса	
"ул.Карьерная (кв-л жилой застройки ""Лунево"")"	
"ул.Кипрейная (кв-л жилой застройки ""Лунево"")"	
ул.Кирова	
"ул.Клюквенная (кв-л жилой застройки ""Лунево"")"	
ул.Клязьменская	
ул.Княгининская	
Княгинин монастырь	
ул.Козлов Вал	
ул.Комсомольская	
ул.Котовского	
ул.Крамского	
ул.Краснознаменная	
"ул.Краснораменская (кв-л жилой застройки ""Лунево"")"	
ул.Кремлевская	
ул.Крупской	
ул.Куйбышева (с д. № 2 по № 30а)	
ул.Кулибина	
ул.Курская	
ул.Ладожская	
ул.Лакина (с д. № 1 по № 209)	
"ул.Ландышевая (кв-л жилой застройки ""Лунево"")"	
ул.Левитана	
ул.Лесная (мкр. Заклязьменский)	
ул.Лесная (мкр. Злобино)	
ул.Лесная (мкр. Коммунар)	
ул.Лесная (мкр. Никулино)	
ул.Лесная (мкр. Рахманов Перевоз)	
"ул.Ливенская (кв-л жилой застройки ""Лунево"")"	
ул.Линейная	
ул.Луговая	
ул.Луначарского	
ул.Луневская	
ул.Луневский Вал	
"ул.Львовская (кв-л жилой застройки ""Лунево"")"	
ул.Любови Шевцовой	
ул.Малая Сторонка (мкр. Уварово)	
ул.Малые Ременники	
ул.Марьинская	
ул.Менделеева	
"ул.Мира (нечетн. стор. с № 1а по № 51; четн. стор. с № 18а по № 72)"	
ул.Михайловская	
ул.Модорова	
ул.Молодежная	
ул.Музейная	
ул.Муромская	
ул.Набережная (мкр. Коммунар)	
ул.Набережная	
ул.Народная	
ул.Нижне-Лыбедская	
ул.Никитина	
ул.Никитская (кроме д. №№ 1, 3, 4а, 5)	
ул.Николо-Галейская	
ул.Новая (мкр. Аббакумово)	
ул.Новая (мкр. Заклязьменский)	
ул.Новая (мкр. Шепелево)	
ул.Новая	
ул.Овражная	
